"Date","1 Month 5 Years Payer ATMF Implied BP Vol","3 Month 5 Years Payer ATMF Implied BP Vol","9 Month 5 Years Payer ATMF Implied BP Vol","1 Year 5 Years Payer ATMF Implied BP Vol","18 Month 5 Years Payer ATMF Implied BP Vol","2 Years 5 Years Payer ATMF Implied BP Vol","3 Years 5 Years Payer ATMF Implied BP Vol","4 Years 5 Years Payer ATMF Implied BP Vol","5 Years 5 Years Payer ATMF Implied BP Vol"
02-Apr-18,3.82755,4.02689,4.2279,4.32322,4.46858,4.61403,4.72399,4.75225,4.75216
03-Apr-18,3.63215,3.90855,4.17266,4.28376,4.4327,4.58204,4.70822,4.74041,4.74427
04-Apr-18,3.58638,3.84064,4.13082,4.2443,4.39755,4.55079,4.67665,4.70491,4.70482
05-Apr-18,3.51719,3.76173,4.06769,4.19694,4.36598,4.535,4.66087,4.69285,4.69703
06-Apr-18,3.61083,3.85626,4.09136,4.19672,4.35415,4.51134,4.63709,4.67731,4.68125
09-Apr-18,3.45857,3.7632,4.04791,4.17164,4.33753,4.50357,4.62931,4.67346,4.681
10-Apr-18,3.38282,3.68116,4.0125,4.13219,4.29813,4.46455,4.59775,4.64584,4.65734
11-Apr-18,3.27552,3.57386,3.95881,4.09437,4.26735,4.44091,4.58197,4.63401,4.64969
12-Apr-18,3.34811,3.62759,3.98406,4.1133,4.28076,4.44879,4.58986,4.63795,4.64423
13-Apr-18,3.35126,3.60868,3.96829,4.10069,4.26657,4.43302,4.57397,4.62206,4.6285
16-Apr-18,3.22502,3.53767,3.91701,4.06124,4.23106,4.39268,4.54239,4.59055,4.60225
17-Apr-18,3.16191,3.4426,3.8063,3.94307,4.12864,4.30593,4.4635,4.52748,4.55492
18-Apr-18,3.22502,3.482,3.83419,3.96674,4.14048,4.31421,4.47139,4.53537,4.56281
19-Apr-18,3.34337,3.56928,3.91309,4.04693,4.19965,4.35366,4.50295,4.555,4.57069
20-Apr-18,3.44594,3.65607,3.98804,4.12573,4.26672,4.40889,4.5583,4.5985,4.60235
23-Apr-18,3.45247,3.67974,4.00382,4.13243,4.28644,4.44045,4.58197,4.62217,4.62602
24-Apr-18,3.44592,3.64818,3.97226,4.11665,4.28644,4.45623,4.58986,4.64584,4.66547
25-Apr-18,3.64003,3.78862,4.07089,4.2066,4.35903,4.51146,4.64509,4.69713,4.71281
26-Apr-18,3.45048,3.61504,3.97226,4.1277,4.29196,4.45623,4.59775,4.65768,4.68125
27-Apr-18,3.28482,3.48091,3.86575,4.02443,4.21306,4.401,4.54252,4.61034,4.64157
30-Apr-18,3.21369,3.40833,3.80127,3.96921,4.15663,4.33701,4.49569,4.5711,4.60123
01-May-18,3.32607,3.45643,3.82993,3.99301,4.18922,4.37634,4.54262,4.60626,4.63339
02-May-18,3.16664,3.37782,3.75893,3.92256,4.11821,4.31501,4.50321,4.57868,4.61781
03-May-18,3.20609,3.4099,3.74315,3.89889,4.09848,4.29926,4.49534,4.5746,4.61792
04-May-18,3.15875,3.37045,3.73524,3.89268,4.09059,4.29137,4.48716,4.56683,4.61024
07-May-18,3.1193,3.37045,3.72373,3.87522,4.07105,4.26687,4.47151,4.55905,4.60235
08-May-18,3.15086,3.40832,3.76634,3.91625,4.10339,4.29054,4.48729,4.57483,4.61024
09-May-18,3.16664,3.43357,3.78922,3.92729,4.11681,4.30632,4.50307,4.58667,4.61813
10-May-18,3.07196,3.36414,3.75766,3.90836,4.09156,4.27476,4.47151,4.55905,4.59446
11-May-18,3.012,3.31364,3.7332,3.87837,4.06868,4.25898,4.46362,4.55511,4.59446
14-May-18,3.10257,3.29786,3.72925,3.87837,4.06473,4.25109,4.46362,4.55511,4.59446
15-May-18,3.51564,3.58979,3.86812,3.99988,4.16494,4.32999,4.52674,4.60245,4.62602
16-May-18,3.5002,3.60557,3.9194,4.06773,4.21701,4.36629,4.55514,4.6206,4.63391
17-May-18,3.43711,3.54245,3.92729,4.08351,4.23279,4.38207,4.55909,4.62256,4.63391
18-May-18,3.43711,3.55823,3.91151,4.06773,4.22096,4.37418,4.5512,4.61467,4.62602
21-May-18,3.44651,3.5677,3.92095,4.08036,4.23122,4.38203,4.55908,4.62256,4.63388
22-May-18,3.33921,3.55447,3.95381,4.11495,4.26036,4.4057,4.58272,4.64623,4.65755
23-May-18,3.38966,3.53598,3.93314,4.0898,4.2359,4.38205,4.55116,4.62848,4.64575
