"Date","10 year note Current 1M Forward Yield","10 year note Current 3M Forward Yield","10 year note Current 6M Forward Yield","10 year note Current Mid Price","Libor 10 Years Mid Rate","Libor 2 Years Mid Rate","2 year note Current Mid Yield"
01-May-18,2.98738,3.00939,3.03849,98.10156,3.00225,2.76515,2.51031
02-May-18,2.9761,2.99789,3.02662,98.19531,2.9961,2.76366,2.49426
03-May-18,2.95728,2.97868,3.00681,98.35156,2.97748,2.74846,2.48224
04-May-18,2.95554,2.97694,3.00497,98.36719,2.97597,2.76835,2.4989
07-May-18,2.96126,2.98278,3.01098,98.32031,2.98752,2.76863,2.49497
08-May-18,2.98022,3.00214,3.03093,98.16406,3.00389,2.77122,2.51144
09-May-18,3.00244,3.02008,3.04378,98.98449,3.03211,2.78412,2.52797
10-May-18,2.97976,2.99633,3.01926,99.17969,3.0142,2.78603,2.53636
11-May-18,2.98072,2.99695,3.02014,99.17969,3.00155,2.75982,2.53695
14-May-18,3.0125,3.03627,3.07272,98.98438,3.01949,2.75425,2.5454
15-May-18,3.09945,3.12645,3.15632,98.26562,3.10797,2.79855,2.58277
16-May-18,3.11536,3.14269,3.17308,98.13281,3.12491,2.81226,2.58717
17-May-18,3.13037,3.15801,3.18888,98.00781,3.13968,2.81381,2.57087
18-May-18,3.08756,3.11437,3.14397,98.36719,3.09727,2.79053,2.54669
21-May-18,3.08574,3.11253,3.14209,98.38281,3.10176,2.80456,2.56772
22-May-18,3.08579,3.11258,3.14216,98.38281,3.09432,2.80567,2.58921
23-May-18,3.0226,3.04815,3.07577,98.91406,3.03656,2.76063,2.5262
24-May-18,2.99586,3.02247,3.05246,99.10156,3.01339,2.74122,2.51007
25-May-18,2.949,2.97472,3.00099,99.49219,2.97158,2.70639,2.48187
29-May-18,2.78075,2.80313,2.82414,100.92969,2.80499,2.55788,2.31508
30-May-18,2.85773,2.8796,2.89797,100.27344,2.8808,2.65193,2.40945
31-May-18,2.83508,2.85572,2.87341,100.46094,2.87271,2.67365,2.4093
01-Jun-18,2.90831,2.93045,2.95046,99.83594,2.94653,2.73117,2.4655
04-Jun-18,2.9507,2.9737,2.99504,99.47656,2.99229,2.77161,2.50598
05-Jun-18,2.93128,2.95031,2.97257,99.63281,2.97514,2.75649,2.48972
06-Jun-18,2.98763,3.00728,3.03287,99.14844,3.03189,2.78654,2.51816
07-Jun-18,2.9441,2.96235,2.98661,99.50781,2.991,2.77532,2.50187
08-Jun-18,2.9455,2.96429,2.98867,99.49219,2.99535,2.77511,2.49364
11-Jun-18,2.96723,2.98697,3.01207,99.30469,3.01862,2.80048,2.52637
12-Jun-18,2.96725,2.987,3.01211,99.30469,3.01741,2.80653,2.5387
13-Jun-18,2.9888,3.00745,3.03246,99.11719,3.03952,2.84227,2.57778
14-Jun-18,2.95543,2.9734,2.9974,99.39844,3.00775,2.84067,2.57169
15-Jun-18,2.93326,2.9508,2.97416,99.58594,2.98453,2.82281,2.55126
18-Jun-18,2.93419,2.95176,2.97517,99.57812,2.9892,2.82022,2.55545
19-Jun-18,2.90094,2.91784,2.94023,99.85938,2.95874,2.80466,2.54308
20-Jun-18,2.93699,2.95463,2.97816,99.55469,2.98834,2.81887,2.55972
21-Jun-18,2.90464,2.92163,2.94417,99.82812,2.96008,2.80658,2.53901
22-Jun-18,2.90927,2.92637,2.94912,99.78906,2.96462,2.81051,2.54746
25-Jun-18,2.88343,2.9,2.92196,100.00781,2.94142,2.79008,2.52663
26-Jun-18,2.88896,2.90566,2.92781,99.96094,2.9469,2.79279,2.5412
27-Jun-18,2.83556,2.85118,2.87168,100.41406,2.89902,2.76224,2.50201
28-Jun-18,2.85578,2.87181,2.89296,100.24219,2.91775,2.78479,2.51813
29-Jun-18,2.85899,2.87556,2.89717,100.21094,2.92513,2.78939,2.52622
02-Jul-18,2.87559,2.8925,2.91466,100.07031,2.94407,2.80985,2.55053
03-Jul-18,2.84607,2.8624,2.88366,100.32031,2.9148,2.79344,2.53032
05-Jul-18,2.8479,2.86427,2.88561,100.30469,2.91917,2.81325,2.5588
06-Jul-18,2.83866,2.85486,2.87596,100.38281,2.91004,2.79619,2.54265
09-Jul-18,2.86818,2.88498,2.90704,100.13281,2.93924,2.81505,2.55904
10-Jul-18,2.88113,2.89819,2.92068,100.02344,2.9495,2.8337,2.59186
11-Jul-18,2.85154,2.86802,2.88959,100.27344,2.9153,2.81578,2.57556
12-Jul-18,2.86077,2.87744,2.89933,100.19531,2.9219,2.82635,2.59207
13-Jul-18,2.83807,2.85328,2.87606,100.38281,2.89728,2.8079,2.58001
16-Jul-18,2.86302,2.87873,2.90232,100.17188,2.91583,2.82706,2.60075
17-Jul-18,2.86949,2.88534,2.90916,100.11719,2.92588,2.83733,2.61329
18-Jul-18,2.88247,2.89858,2.92284,100.00781,2.94138,2.83619,2.60928
19-Jul-18,2.85467,2.87023,2.89362,100.24219,2.91503,2.82347,2.59281
20-Jul-18,2.90106,2.91756,2.9425,99.85156,2.95468,2.82899,2.59731
23-Jul-18,2.97388,2.99186,3.01915,99.24219,3.01804,2.85635,2.6308
24-Jul-18,2.95892,2.97661,3.00344,99.36719,3.00315,2.85009,2.64889
25-Jul-18,2.94398,2.95981,2.98457,99.49219,2.98851,2.84822,2.65528
26-Jul-18,2.98333,2.99997,3.02601,99.16406,3.02365,2.87489,2.68355
27-Jul-18,2.97027,2.98666,3.01234,99.27344,3.01826,2.87784,2.67547
30-Jul-18,2.98344,3.0001,3.02622,99.16406,3.03754,2.87678,2.66739
31-Jul-18,2.97219,2.98863,3.01442,99.25781,3.02889,2.88099,2.66742
01-Aug-18,3.01172,3.02896,3.05604,98.92969,3.07058,2.89652,2.67961
02-Aug-18,2.99532,3.01171,3.03827,99.07031,3.05626,2.88322,2.66343
03-Aug-18,2.96156,2.97728,3.00282,99.35156,3.02529,2.86668,2.64317
06-Aug-18,2.94657,2.96199,2.98707,99.47656,3.00923,2.86441,2.64724
07-Aug-18,2.98228,2.99843,3.02468,99.17969,3.03441,2.88061,2.67174
08-Aug-18,2.97244,2.98697,3.00416,99.22424,3.02394,2.86918,2.67178
09-Aug-18,2.94122,2.95511,2.97129,99.49219,2.99277,2.84661,2.65136
10-Aug-18,2.86524,2.87752,2.89185,100.14844,2.91905,2.78437,2.59803
13-Aug-18,2.88374,2.89606,2.91123,99.99219,2.93585,2.79628,2.6103
14-Aug-18,2.90209,2.91493,2.92941,99.83594,2.96022,2.82644,2.63084
15-Aug-18,2.86363,2.88009,2.89952,100.21094,2.9155,2.79462,2.60198
16-Aug-18,2.88435,2.90055,2.92063,100.03906,2.93794,2.8233,2.61843
17-Aug-18,2.88617,2.90243,2.92261,100.02344,2.94344,2.82248,2.61834
20-Aug-18,2.83519,2.85034,2.86895,100.46094,2.89664,2.7889,2.58928
21-Aug-18,2.85603,2.87263,2.89194,100.27344,2.91329,2.80356,2.60583
22-Aug-18,2.83406,2.85125,2.86992,100.45312,2.89499,2.78671,2.5933
23-Aug-18,2.83131,2.84845,2.86706,100.47656,2.89226,2.79206,2.6099
24-Aug-18,2.83724,2.854,2.87283,100.42969,2.90012,2.80872,2.62652
27-Aug-18,2.86095,2.87819,2.89778,100.22656,2.92619,2.82566,2.64952
28-Aug-18,2.89498,2.91078,2.92476,99.92969,2.95569,2.83905,2.66335
29-Aug-18,2.89315,2.90891,2.9226,99.94531,2.9566,2.85021,2.67547
30-Aug-18,2.87077,2.88543,2.8962,100.13281,2.93456,2.83965,2.65124
31-Aug-18,2.86343,2.87796,2.8901,100.19531,2.92218,2.81902,2.62693
04-Sep-18,2.91568,2.93227,2.94985,99.77344,2.96627,2.84387,2.65536
05-Sep-18,2.91446,2.93123,2.94681,99.77344,2.9624,2.83557,2.65131
06-Sep-18,2.88823,2.9,2.91673,99.99219,2.93708,2.82643,2.63909
07-Sep-18,2.95264,2.96694,2.98651,99.42969,3.00535,2.89171,2.7046
10-Sep-18,2.9471,2.9613,2.98072,99.47656,2.99732,2.8966,2.71289
11-Sep-18,2.98876,3.00403,3.02554,99.11719,3.04571,2.93288,2.74794
12-Sep-18,2.97109,2.98702,3.00343,99.25781,3.02878,2.92414,2.74602
13-Sep-18,2.97272,2.98743,3.00542,99.24219,3.03228,2.93208,2.75442
14-Sep-18,3.00105,3.01784,3.03681,98.99219,3.06069,2.95552,2.77975
17-Sep-18,3.00853,3.02547,3.04469,98.92969,3.06545,2.94947,2.78409
18-Sep-18,3.05527,3.07315,3.09383,98.53906,3.10425,2.95617,2.79676
19-Sep-18,3.09121,3.10652,3.13136,98.24219,3.13813,2.97253,2.8053
20-Sep-18,3.08488,3.0993,3.12551,98.28906,3.14265,2.99039,2.80553
21-Sep-18,3.07636,3.0914,3.11586,98.36719,3.1263,2.97816,2.80204
24-Sep-18,3.08581,3.10103,3.12581,98.28906,3.13076,2.9817,2.82433
25-Sep-18,3.11034,3.12606,3.15162,98.08594,3.15613,3.00343,2.84103
26-Sep-18,3.06898,3.08388,3.10355,98.42969,3.11968,2.99348,2.82484
27-Sep-18,3.06339,3.07818,3.09769,98.47656,3.11578,2.99839,2.83293
28-Sep-18,3.06381,3.0786,3.09817,98.47656,3.11471,2.98528,2.8168
01-Oct-18,3.08833,3.10361,3.12396,98.27344,3.13272,2.99121,2.82092
02-Oct-18,3.0639,3.07869,3.09831,98.47656,3.10964,2.98389,2.81286
03-Oct-18,3.16984,3.18676,3.20969,97.60156,3.20577,3.01997,2.85771
04-Oct-18,3.20323,3.22083,3.24482,97.32812,3.23779,3.05242,2.87823
05-Oct-18,3.237,3.2553,3.28043,97.05469,3.26615,3.06222,2.88702
09-Oct-18,3.21795,3.23587,3.26043,97.21094,3.25468,3.06688,2.88718
10-Oct-18,3.23526,3.25353,3.27865,97.07031,3.2679,3.06438,2.87911
11-Oct-18,3.13919,3.15633,3.1785,97.85156,3.1787,3.03252,2.83809
12-Oct-18,3.14888,3.16623,3.18877,97.77344,3.18345,3.03132,2.83838
15-Oct-18,3.1718,3.18962,3.21289,97.58594,3.20984,3.05826,2.85917
16-Oct-18,3.16425,3.18192,3.20497,97.64844,3.21338,3.05893,2.86344
17-Oct-18,3.18721,3.20535,3.22915,97.46094,3.24269,3.07529,2.88019
18-Oct-18,3.18347,3.20154,3.22523,97.49219,3.24403,3.0953,2.87202
19-Oct-18,3.21048,3.22911,3.25372,97.27344,3.26814,3.11359,2.91006
22-Oct-18,3.2029,3.22138,3.24578,97.33594,3.25675,3.10152,2.91026
23-Oct-18,3.17428,3.19219,3.21571,97.57031,3.23205,3.07561,2.88901
24-Oct-18,3.13239,3.14946,3.17169,97.91406,3.19181,3.05333,2.85274
25-Oct-18,3.14388,3.16119,3.1838,97.82031,3.19712,3.06607,2.86084
26-Oct-18,3.08322,3.09932,3.12009,98.32031,3.1369,3.01416,2.80827
29-Oct-18,3.0937,3.11002,3.13115,98.23438,3.1524,3.02026,2.81635
30-Oct-18,3.11723,3.13433,3.15593,98.03906,3.17719,3.03521,2.84061
31-Oct-18,3.16689,3.18501,3.20818,97.63281,3.22519,3.07516,2.87294
01-Nov-18,3.15167,3.16949,3.1922,97.75781,3.21025,3.06754,2.85263
02-Nov-18,3.22283,3.24213,3.26712,97.17969,3.27331,3.11239,2.90951
05-Nov-18,3.20703,3.22652,3.25106,97.30469,3.25934,3.10241,2.90953
06-Nov-18,3.21829,3.23298,3.25105,99.2609,3.26939,3.11712,2.93
07-Nov-18,3.2197,3.24014,3.26534,99.25781,3.27079,3.12899,2.94643
08-Nov-18,3.23865,3.25949,3.28527,99.10156,3.28476,3.15136,2.96703
09-Nov-18,3.19628,3.20962,3.22624,99.46094,3.24711,3.12365,2.93028
13-Nov-18,3.15287,3.17199,3.19499,99.83594,3.20284,3.08161,2.89318
14-Nov-18,3.12923,3.14279,3.16032,100.05469,3.18106,3.05277,2.86014
15-Nov-18,3.12738,3.1409,3.15836,100.07031,3.18176,3.05545,2.86009
16-Nov-18,3.08307,3.09569,3.11173,100.44531,3.13533,3.0027,2.81017
19-Nov-18,3.0674,3.07971,3.09525,100.57812,3.11467,2.97282,2.781
20-Nov-18,3.05727,3.06938,3.08459,100.66406,3.11358,2.98291,2.79332
21-Nov-18,3.07011,3.08248,3.09806,100.55469,3.12613,3.00318,2.80972
23-Nov-18,3.06268,3.07492,3.09022,100.61719,3.1164,2.99622,2.81776
26-Nov-18,3.07925,3.09183,3.10763,100.47656,3.13031,3.01721,2.82858
27-Nov-18,3.06682,3.07941,3.09713,100.58594,3.10878,3.00676,2.82888
28-Nov-18,3.05391,3.06598,3.08354,100.69531,3.08323,2.97322,2.80358
29-Nov-18,3.04488,3.05632,3.0739,100.77344,3.07682,2.98258,2.81168
30-Nov-18,3.02288,3.03375,3.05073,100.96094,3.05621,2.97859,2.80981
03-Dec-18,3.00108,3.01126,3.02752,101.14844,3.04802,3.00579,2.83225
04-Dec-18,2.93152,2.94034,2.95435,101.74219,2.9841,2.97444,2.80998
06-Dec-18,2.88418,2.89208,2.90457,102.14844,2.94344,2.92748,2.75696
07-Dec-18,2.8563,2.8645,2.87764,102.36719,2.90181,2.86873,2.70983
10-Dec-18,2.86167,2.86998,2.88327,102.32031,2.88351,2.85026,2.72614
11-Dec-18,2.88599,2.89507,2.90524,102.10156,2.91108,2.88928,2.77126
12-Dec-18,2.91142,2.921,2.93196,101.88281,2.94089,2.90383,2.76921
13-Dec-18,2.91581,2.92652,2.93764,101.83594,2.94525,2.90007,2.75789
14-Dec-18,2.89248,2.90103,2.9113,102.02344,2.92243,2.87883,2.72994
17-Dec-18,2.86019,2.86759,2.8768,102.30469,2.89121,2.84519,2.69887
18-Dec-18,2.82567,2.83239,2.84049,102.60156,2.8421,2.78546,2.65118
19-Dec-18,2.77772,2.7835,2.79007,103.01562,2.80353,2.78414,2.64171
20-Dec-18,2.79116,2.79721,2.80419,102.89844,2.82544,2.81281,2.6685
21-Dec-18,2.79452,2.80064,2.80768,102.86719,2.83254,2.79274,2.64207
24-Dec-18,2.75375,2.75908,2.76479,103.21875,2.77335,2.72344,2.58436
26-Dec-18,2.79996,2.80744,2.81934,102.82031,2.81372,2.73836,2.60691
27-Dec-18,2.74359,2.74577,2.76135,103.29688,2.76069,2.67937,2.54636
28-Dec-18,2.7388,2.74089,2.74437,103.33594,2.75577,2.67513,2.53426
31-Dec-18,2.69233,2.69547,2.69751,103.74219,2.72043,2.6623,2.49491
02-Jan-19,2.66177,2.66431,2.66538,104.00781,2.69176,2.67478,2.50297
03-Jan-19,2.55335,2.55501,2.55581,104.96094,2.56993,2.54042,2.38665
04-Jan-19,2.65978,2.66353,2.66762,104.02344,2.68825,2.63809,2.4846
07-Jan-19,2.68296,2.68718,2.69198,103.82031,2.70713,2.66194,2.52325
08-Jan-19,2.71702,2.7219,2.72776,103.52344,2.74231,2.71832,2.58248
09-Jan-19,2.72953,2.73467,2.7409,103.41406,2.75145,2.71117,2.56211
10-Jan-19,2.73304,2.73825,2.74458,103.38281,2.75421,2.7128,2.56423
11-Jan-19,2.70029,2.70486,2.71012,103.66406,2.72296,2.69561,2.54285
14-Jan-19,2.71121,2.71182,2.71418,103.57031,2.73361,2.69745,2.53363
15-Jan-19,2.7094,2.70988,2.71217,103.58594,2.73557,2.69355,2.52747
16-Jan-19,2.73096,2.73217,2.73481,103.39844,2.75935,2.70676,2.54606
17-Jan-19,2.75071,2.75417,2.75371,103.24219,2.77825,2.72145,2.56161
18-Jan-19,2.785,2.78686,2.7908,102.92969,2.81395,2.76646,2.61076
22-Jan-19,2.73389,2.73465,2.73729,103.36719,2.76232,2.72188,2.57548
23-Jan-19,2.75736,2.75889,2.76194,103.16406,2.78439,2.74156,2.59017
24-Jan-19,2.7138,2.71446,2.71614,103.53906,2.74236,2.71173,2.56104
25-Jan-19,2.75337,2.75482,2.75768,103.19531,2.78152,2.73748,2.599
28-Jan-19,2.74571,2.74823,2.74994,103.25781,2.77055,2.72359,2.58947
29-Jan-19,2.71292,2.71486,2.71553,103.53906,2.74071,2.70582,2.56754
30-Jan-19,2.69648,2.69811,2.69955,103.67969,2.72213,2.67138,2.52519
31-Jan-19,2.63515,2.63552,2.63563,104.21094,2.65862,2.60822,2.46066
01-Feb-19,2.69385,2.70157,2.69524,103.71094,2.718,2.65358,2.50802
04-Feb-19,2.72492,2.72714,2.72877,103.42969,2.7464,2.67401,2.53134
05-Feb-19,2.70489,2.7067,2.70768,103.60156,2.7278,2.66776,2.5212
06-Feb-19,2.70258,2.70416,2.70712,99.33253,2.72293,2.66891,2.52324
07-Feb-19,2.65252,2.6531,2.65452,99.76562,2.67805,2.62232,2.47845
08-Feb-19,2.63188,2.63202,2.6328,99.94531,2.65611,2.60415,2.46196
11-Feb-19,2.66078,2.66202,2.66433,99.69531,2.68364,2.62367,2.48849
12-Feb-19,2.68443,2.68604,2.68848,99.49219,2.70571,2.6375,2.5028
13-Feb-19,2.70625,2.70827,2.71139,99.30469,2.72769,2.67166,2.53771
14-Feb-19,2.65971,2.66055,2.66373,99.71094,2.68661,2.63547,2.49455
15-Feb-19,2.66988,2.66795,2.6713,99.64844,2.69392,2.6512,2.51926
19-Feb-19,2.64817,2.64581,2.64847,99.83594,2.66877,2.61871,2.49856
20-Feb-19,2.6554,2.65319,2.65606,99.77344,2.67205,2.61199,2.49958
21-Feb-19,2.69123,2.69597,2.69717,99.46094,2.69559,2.62269,2.52759
22-Feb-19,2.65881,2.6656,2.66586,99.74219,2.6657,2.59377,2.49013
25-Feb-19,2.67921,2.68265,2.68793,99.58594,2.67875,2.60235,2.50472
26-Feb-19,2.6407,2.64384,2.64793,99.91406,2.63831,2.57126,2.48288
27-Feb-19,2.69919,2.70335,2.70914,99.41406,2.69611,2.58982,2.50504
28-Feb-19,2.71773,2.72207,2.72838,99.25781,2.71911,2.60892,2.51107
01-Mar-19,2.76174,2.76845,2.77459,98.88281,2.76266,2.64121,2.55767
04-Mar-19,2.73328,2.73786,2.73994,99.16406,2.72754,2.62659,2.54352
05-Mar-19,2.72764,2.73393,2.73899,99.17188,2.73293,2.64721,2.54965
06-Mar-19,2.6965,2.7032,2.70885,99.42969,2.70815,2.62859,2.51816
07-Mar-19,2.63959,2.64266,2.64647,99.91406,2.65467,2.58662,2.46829
08-Mar-19,2.62869,2.63155,2.63498,100.00781,2.64276,2.5808,2.46197
11-Mar-19,2.64579,2.64973,2.65215,99.86719,2.65952,2.59864,2.47622
12-Mar-19,2.60723,2.61045,2.61399,100.17969,2.61922,2.56715,2.45159
13-Mar-19,2.61241,2.61599,2.61968,100.13281,2.62094,2.56789,2.45049
14-Mar-19,2.62988,2.63409,2.63911,99.96094,2.64181,2.57376,2.45964
15-Mar-19,2.594,2.59747,2.599,100.28906,2.60903,2.55624,2.44293
18-Mar-19,2.60306,2.60671,2.60851,100.21094,2.61432,2.56838,2.45419
19-Mar-19,2.61394,2.61781,2.61993,100.11719,2.61893,2.56628,2.46754
20-Mar-19,2.53791,2.54027,2.54002,100.77344,2.54243,2.50922,2.39922
21-Mar-19,2.53969,2.54209,2.54188,100.75781,2.53547,2.50336,2.40941
22-Mar-19,2.45511,2.45584,2.45297,101.49219,2.43777,2.41018,2.328
25-Mar-19,2.41777,2.4175,2.41654,101.82031,2.37055,2.32581,2.25406
26-Mar-19,2.41187,2.41199,2.41084,101.86719,2.37165,2.34471,2.24338
27-Mar-19,2.37235,2.37318,2.3739,102.22656,2.34343,2.31369,2.20597
28-Mar-19,2.39008,2.39126,2.39252,102.07031,2.37852,2.33847,2.22794
29-Mar-19,2.41701,2.41801,2.41544,101.85156,2.41429,2.38971,2.27312
01-Apr-19,2.50126,2.50394,2.50397,101.11719,2.49643,2.44158,2.32555
02-Apr-19,2.48274,2.48555,2.485,101.27344,2.46855,2.42692,2.30746
03-Apr-19,2.52055,2.52411,2.52473,100.94531,2.4973,2.44459,2.33179
04-Apr-19,2.51208,2.51222,2.51555,101.00781,2.49262,2.44393,2.33694
05-Apr-19,2.49977,2.50016,2.50309,101.10938,2.48329,2.44497,2.34233
08-Apr-19,2.52003,2.52131,2.52487,100.92969,2.50267,2.45453,2.3567
09-Apr-19,2.50012,2.50327,2.50394,101.10156,2.48051,2.43195,2.34255
10-Apr-19,2.47845,2.48116,2.48115,101.28906,2.45784,2.42206,2.3253
11-Apr-19,2.50548,2.50873,2.50954,101.05469,2.48822,2.44309,2.35504
12-Apr-19,2.5597,2.56504,2.56753,100.57812,2.54526,2.49045,2.39345
15-Apr-19,2.55332,2.55854,2.56081,100.63281,2.54286,2.48621,2.39054
16-Apr-19,2.5952,2.60125,2.60481,100.27344,2.58166,2.50825,2.41546
17-Apr-19,2.59336,2.59938,2.60287,100.28906,2.58374,2.50054,2.40018
18-Apr-19,2.55867,2.564,2.56635,100.58594,2.54825,2.4753,2.3833
22-Apr-19,2.59149,2.59748,2.60084,100.30469,2.57195,2.46773,2.38763
23-Apr-19,2.57048,2.57605,2.57875,100.48438,2.54985,2.44807,2.35714
24-Apr-19,2.52223,2.52684,2.52802,100.89844,2.50326,2.41106,2.31879
25-Apr-19,2.53493,2.53979,2.54135,100.78906,2.52091,2.4298,2.32891
26-Apr-19,2.50396,2.50821,2.50877,101.05469,2.48891,2.39351,2.2861
