"Date","Libor 10 Years Mid Rate","10 year note Current Mid Yield"
04-Feb-19,2.7464,2.72265
05-Feb-19,2.7278,2.70281
06-Feb-19,2.72293,2.70162
07-Feb-19,2.67805,2.65184
08-Feb-19,2.65611,2.63126
11-Feb-19,2.68364,2.6599
12-Feb-19,2.70571,2.68324
13-Feb-19,2.72769,2.70482
14-Feb-19,2.68661,2.65811
15-Feb-19,2.69392,2.6653
19-Feb-19,2.66877,2.64377
20-Feb-19,2.67205,2.65095
21-Feb-19,2.69559,2.6869
22-Feb-19,2.6657,2.65454
25-Feb-19,2.67875,2.67253
26-Feb-19,2.63831,2.6348
27-Feb-19,2.69611,2.69237
28-Feb-19,2.71911,2.71045
01-Mar-19,2.76266,2.75401
04-Mar-19,2.72754,2.72137
05-Mar-19,2.73293,2.72049
06-Mar-19,2.70815,2.69065
07-Mar-19,2.65467,2.63478
08-Mar-19,2.64276,2.62399
11-Mar-19,2.65952,2.64017
12-Mar-19,2.61922,2.60422
13-Mar-19,2.62094,2.6096
14-Mar-19,2.64181,2.62937
15-Mar-19,2.60903,2.59161
18-Mar-19,2.61432,2.60058
19-Mar-19,2.61893,2.61135
20-Mar-19,2.54243,2.53607
21-Mar-19,2.53547,2.53783
22-Mar-19,2.43777,2.45408
25-Mar-19,2.37055,2.41686
26-Mar-19,2.37165,2.4115
27-Mar-19,2.34343,2.37089
28-Mar-19,2.37852,2.38844
29-Mar-19,2.41429,2.413
01-Apr-19,2.49643,2.49645
02-Apr-19,2.46855,2.47858
03-Apr-19,2.4973,2.51603
04-Apr-19,2.49262,2.50885
05-Apr-19,2.48329,2.49714
08-Apr-19,2.50267,2.51768
09-Apr-19,2.48051,2.49796
10-Apr-19,2.45784,2.47649
11-Apr-19,2.48822,2.50327
12-Apr-19,2.54526,2.55794
15-Apr-19,2.54286,2.55162
16-Apr-19,2.58166,2.59309
17-Apr-19,2.58374,2.59128
18-Apr-19,2.54825,2.55691
22-Apr-19,2.57195,2.58942
23-Apr-19,2.54985,2.56861
24-Apr-19,2.50326,2.52082
25-Apr-19,2.52091,2.5334
26-Apr-19,2.48891,2.50273
29-Apr-19,2.5151,2.5351
30-Apr-19,2.49132,2.50626
01-May-19,2.50495,2.50983
02-May-19,2.54141,2.55129
03-May-19,2.51463,2.52955
06-May-19,2.47882,2.49888
07-May-19,2.42668,2.44676
08-May-19,2.4607,2.48142
09-May-19,2.4356,2.45561
10-May-19,2.43383,2.45383
13-May-19,2.37415,2.40416
14-May-19,2.38328,2.41833
15-May-19,2.33262,2.37764
16-May-19,2.35802,2.40416
17-May-19,2.34555,2.39178
20-May-19,2.36466,2.41215
21-May-19,2.37675,2.42547
22-May-19,2.34669,2.39178
23-May-19,2.23967,2.29482
24-May-19,2.27429,2.32815
28-May-19,2.22034,2.26664
29-May-19,2.18766,2.23513
30-May-19,2.18459,2.22461
31-May-19,2.09276,2.14102
03-Jun-19,2.03642,2.08051
04-Jun-19,2.09,2.12013
05-Jun-19,2.10057,2.12093
06-Jun-19,2.10677,2.12173
07-Jun-19,2.07285,2.08352
10-Jun-19,2.12048,2.14054
11-Jun-19,2.10763,2.13875
12-Jun-19,2.08348,2.12654
13-Jun-19,2.03354,2.09013
14-Jun-19,2.02379,2.09337
17-Jun-19,2.02707,2.08466
18-Jun-19,1.99848,2.05696
19-Jun-19,1.96487,2.02588
20-Jun-19,1.93642,2.00003
21-Jun-19,1.99551,2.06519
24-Jun-19,1.94855,2.01856
25-Jun-19,1.9153,1.99098
26-Jun-19,1.97803,2.04768
27-Jun-19,1.9407,2.00453
28-Jun-19,1.9553,1.99909
01-Jul-19,1.99088,2.03173
02-Jul-19,1.93284,1.97656
03-Jul-19,1.9069,1.95406
05-Jul-19,1.9947,2.04246
08-Jul-19,1.97416,2.03286
09-Jul-19,1.99281,2.05528
10-Jul-19,2.006,2.0604
11-Jul-19,2.06967,2.11948
12-Jul-19,2.04632,2.10533
15-Jul-19,2.02513,2.09132
16-Jul-19,2.05445,2.11916
17-Jul-19,1.99495,2.05985
18-Jul-19,1.96671,2.03894
19-Jul-19,1.98136,2.04824
22-Jul-19,1.97594,2.04208
23-Jul-19,2.00083,2.07331
24-Jul-19,1.97501,2.04887
25-Jul-19,1.9871,2.07316
26-Jul-19,2.0049,2.07992
29-Jul-19,1.97362,2.05368
30-Jul-19,1.97585,2.06057
31-Jul-19,1.95009,2.0196
01-Aug-19,1.80978,1.89091
02-Aug-19,1.77318,1.85456
05-Aug-19,1.61729,1.73536
06-Aug-19,1.6389,1.73859
07-Aug-19,1.55592,1.68605
08-Aug-19,1.58379,1.71461
09-Aug-19,1.61871,1.7335
12-Aug-19,1.53137,1.63945
13-Aug-19,1.5779,1.67867
14-Aug-19,1.46964,1.58007
15-Aug-19,1.41112,1.52607
16-Aug-19,1.42855,1.53863
19-Aug-19,1.49563,1.59696
20-Aug-19,1.45807,1.558
21-Aug-19,1.48111,1.57575
22-Aug-19,1.52643,1.60882
23-Aug-19,1.43663,1.5258
26-Aug-19,1.45906,1.54266
27-Aug-19,1.39918,1.48785
28-Aug-19,1.36322,1.46681
29-Aug-19,1.41112,1.51557
30-Aug-19,1.39022,1.50448
03-Sep-19,1.33959,1.46489
04-Sep-19,1.34228,1.45728
05-Sep-19,1.45156,1.56449
06-Sep-19,1.43078,1.54831
09-Sep-19,1.51106,1.61983
10-Sep-19,1.58648,1.70138
11-Sep-19,1.61458,1.73248
12-Sep-19,1.67098,1.7889
13-Sep-19,1.78878,1.89846
16-Sep-19,1.7251,1.84233
17-Sep-19,1.69198,1.81177
18-Sep-19,1.66096,1.78217
19-Sep-19,1.64395,1.77176
20-Sep-19,1.63489,1.75186
23-Sep-19,1.58923,1.7068
24-Sep-19,1.50459,1.63438
25-Sep-19,1.6004,1.73024
26-Sep-19,1.55912,1.68437
27-Sep-19,1.56611,1.67145
30-Sep-19,1.56758,1.67146
01-Oct-19,1.54455,1.643
02-Oct-19,1.50036,1.59659
03-Oct-19,1.43803,1.535
04-Oct-19,1.4283,1.51192
07-Oct-19,1.47121,1.55113
08-Oct-19,1.45217,1.53744
09-Oct-19,1.49721,1.58622
10-Oct-19,1.56526,1.65513
11-Oct-19,1.6759,1.75168
15-Oct-19,1.69646,1.76833
16-Oct-19,1.66468,1.74388
17-Oct-19,1.67682,1.7544
18-Oct-19,1.68535,1.74837
21-Oct-19,1.72645,1.79137
22-Oct-19,1.69634,1.76508
23-Oct-19,1.68167,1.7581
24-Oct-19,1.68639,1.76515
25-Oct-19,1.71799,1.80043
28-Oct-19,1.7703,1.8517
29-Oct-19,1.749,1.83406
30-Oct-19,1.70848,1.79527
31-Oct-19,1.59668,1.68924
01-Nov-19,1.64333,1.72688
04-Nov-19,1.7057,1.78579
05-Nov-19,1.7807,1.8646
06-Nov-19,1.7308,1.80949
07-Nov-19,1.83917,1.92163
08-Nov-19,1.84083,1.93207
12-Nov-19,1.81266,1.90772
13-Nov-19,1.77024,1.86784
14-Nov-19,1.71929,1.81433
15-Nov-19,1.73701,1.83334
18-Nov-19,1.7041,1.80664
19-Nov-19,1.67893,1.78515
20-Nov-19,1.63086,1.73715
21-Nov-19,1.65809,1.77056
22-Nov-19,1.67086,1.77315
25-Nov-19,1.66908,1.76285
26-Nov-19,1.65254,1.73883
27-Nov-19,1.69009,1.76629
29-Nov-19,1.70363,1.7749
02-Dec-19,1.75661,1.83536
03-Dec-19,1.63032,1.70795
04-Dec-19,1.70503,1.78008
05-Dec-19,1.72386,1.79389
06-Dec-19,1.77363,1.84242
09-Dec-19,1.76196,1.82942
10-Dec-19,1.75658,1.83031
11-Dec-19,1.71573,1.78876
12-Dec-19,1.83474,1.89828
13-Dec-19,1.75112,1.81998
16-Dec-19,1.83303,1.88793
17-Dec-19,1.83598,1.88709
18-Dec-19,1.87208,1.92304
19-Dec-19,1.85756,1.90729
20-Dec-19,1.87397,1.91618
23-Dec-19,1.89025,1.9338
24-Dec-19,1.86733,1.90665
26-Dec-19,1.86102,1.90405
27-Dec-19,1.83391,1.8726
30-Dec-19,1.86113,1.89367
31-Dec-19,1.88246,1.90868
02-Jan-20,1.85026,1.88149
03-Jan-20,1.7523,1.78723
06-Jan-20,1.74992,1.80988
07-Jan-20,1.76901,1.82386
08-Jan-20,1.81625,1.8729
09-Jan-20,1.7997,1.85715
10-Jan-20,1.77064,1.82482
13-Jan-20,1.79412,1.84673
14-Jan-20,1.77184,1.81699
15-Jan-20,1.75039,1.78645
16-Jan-20,1.76271,1.80741
17-Jan-20,1.79362,1.83461
21-Jan-20,1.73063,1.76818
22-Jan-20,1.72419,1.76906
23-Jan-20,1.68789,1.73772
24-Jan-20,1.62481,1.6796
27-Jan-20,1.54496,1.60373
28-Jan-20,1.58738,1.63983
29-Jan-20,1.54694,1.5925
30-Jan-20,1.49905,1.5539
31-Jan-20,1.46282,1.51787
03-Feb-20,1.47214,1.51952
04-Feb-20,1.55525,1.59999
05-Feb-20,1.60731,1.64824
06-Feb-20,1.60082,1.64303
07-Feb-20,1.53106,1.57485
10-Feb-20,1.49275,1.54649
11-Feb-20,1.53198,1.58938
12-Feb-20,1.58287,1.62518
13-Feb-20,1.56512,1.61635
14-Feb-20,1.53106,1.5874
18-Feb-20,1.49256,1.55508
19-Feb-20,1.51135,1.5687
20-Feb-20,1.46212,1.52454
21-Feb-20,1.39258,1.46873
24-Feb-20,1.30383,1.37635
25-Feb-20,1.26704,1.32961
26-Feb-20,1.25483,1.30961
27-Feb-20,1.24656,1.29793
28-Feb-20,1.08601,1.1249
02-Mar-20,1.07539,1.08652
03-Mar-20,0.98681,1.0151
04-Mar-20,0.98355,0.99158
05-Mar-20,0.92371,0.92399
06-Mar-20,0.77064,0.7057
09-Mar-20,0.5966,0.49538
10-Mar-20,0.78814,0.74928
11-Mar-20,0.82554,0.81943
12-Mar-20,0.83037,0.84707
13-Mar-20,0.94914,0.94902
16-Mar-20,0.75069,0.72292
17-Mar-20,0.94008,0.99311
18-Mar-20,1.12986,1.25443
19-Mar-20,0.97738,1.12397
20-Mar-20,0.79907,0.93433
23-Mar-20,0.66222,0.76416
24-Mar-20,0.71529,0.81476
25-Mar-20,0.80529,0.85286
26-Mar-20,0.72847,0.80645
27-Mar-20,0.6866,0.74243
30-Mar-20,0.66711,0.66971
31-Mar-20,0.72957,0.69703
01-Apr-20,0.70904,0.6332
02-Apr-20,0.68484,0.62515
03-Apr-20,0.64761,0.58695
06-Apr-20,0.72059,0.67608
07-Apr-20,0.78847,0.73353
08-Apr-20,0.8238,0.76349
09-Apr-20,0.78909,0.72064
13-Apr-20,0.81333,0.74822
14-Apr-20,0.82033,0.74961
15-Apr-20,0.70592,0.64027
16-Apr-20,0.68183,0.61019
17-Apr-20,0.72442,0.65514
20-Apr-20,0.6909,0.62499
21-Apr-20,0.63921,0.56984
22-Apr-20,0.67086,0.61745
23-Apr-20,0.64837,0.61015
24-Apr-20,0.62767,0.5953
27-Apr-20,0.67044,0.65338
28-Apr-20,0.61929,0.60899
29-Apr-20,0.6371,0.6253
30-Apr-20,0.63486,0.62428
01-May-20,0.64242,0.6394
04-May-20,0.63027,0.63601
05-May-20,0.6512,0.65636
06-May-20,0.67414,0.71098
07-May-20,0.59666,0.63059
08-May-20,0.6397,0.67988
11-May-20,0.66603,0.72512
12-May-20,0.63736,0.68866
13-May-20,0.6133,0.64924
14-May-20,0.58683,0.61774
15-May-20,0.61707,0.63874
18-May-20,0.72157,0.74042
19-May-20,0.689,0.71023
20-May-20,0.66147,0.67769
21-May-20,0.66397,0.67526
22-May-20,0.65573,0.65824
26-May-20,0.68977,0.69733
27-May-20,0.66559,0.67534
28-May-20,0.69419,0.7039
29-May-20,0.64023,0.64366
01-Jun-20,0.65533,0.66156
02-Jun-20,0.66948,0.6795
03-Jun-20,0.74993,0.75981
04-Jun-20,0.8134,0.81845
05-Jun-20,0.88545,0.90433
08-Jun-20,0.86639,0.88269
09-Jun-20,0.81283,0.82783
10-Jun-20,0.74192,0.74688
11-Jun-20,0.6442,0.65186
12-Jun-20,0.68779,0.69769
15-Jun-20,0.68982,0.70099
16-Jun-20,0.73866,0.75367
17-Jun-20,0.70457,0.73227
18-Jun-20,0.66776,0.69284
19-Jun-20,0.67647,0.69782
22-Jun-20,0.68773,0.70277
23-Jun-20,0.69394,0.70773
24-Jun-20,0.67228,0.6831
25-Jun-20,0.66383,0.67326
26-Jun-20,0.62658,0.63643
29-Jun-20,0.61556,0.63562
30-Jun-20,0.63442,0.652
01-Jul-20,0.66172,0.68156
02-Jul-20,0.64632,0.6701
06-Jul-20,0.65498,0.68246
07-Jul-20,0.61882,0.6463
08-Jul-20,0.62193,0.65205
09-Jul-20,0.58427,0.60453
10-Jul-20,0.61758,0.63237
13-Jul-20,0.62135,0.63894
14-Jul-20,0.59017,0.61269
15-Jul-20,0.60907,0.62909
16-Jul-20,0.5935,0.61105
17-Jul-20,0.61245,0.62745
20-Jul-20,0.59548,0.61924
21-Jul-20,0.58608,0.6061
22-Jul-20,0.57707,0.59462
23-Jul-20,0.57033,0.5815
24-Jul-20,0.57968,0.5872
27-Jul-20,0.60009,0.60772
28-Jul-20,0.57351,0.5798
29-Jul-20,0.57471,0.57979
30-Jul-20,0.53424,0.5405
31-Jul-20,0.52804,0.53552
03-Aug-20,0.55164,0.56169
04-Aug-20,0.50561,0.5118
05-Aug-20,0.53596,0.542
06-Aug-20,0.53688,0.53543
07-Aug-20,0.57564,0.56158
10-Aug-20,0.59055,0.57307
11-Aug-20,0.65982,0.65727
12-Aug-20,0.66298,0.68387
13-Aug-20,0.69438,0.71501
14-Aug-20,0.70584,0.70854
17-Aug-20,0.66998,0.68252
18-Aug-20,0.653,0.66792
19-Aug-20,0.65578,0.67443
20-Aug-20,0.63374,0.64361
21-Aug-20,0.63772,0.63876
24-Aug-20,0.63536,0.64525
25-Aug-20,0.67726,0.68101
26-Aug-20,0.68561,0.68592
27-Aug-20,0.74491,0.74479
28-Aug-20,0.73031,0.72767
31-Aug-20,0.6963,0.69252
01-Sep-20,0.67722,0.6697
02-Sep-20,0.66515,0.65017
03-Sep-20,0.63727,0.62094
04-Sep-20,0.72588,0.72214
08-Sep-20,0.68533,0.68285
09-Sep-20,0.70752,0.70251
10-Sep-20,0.69036,0.68288
11-Sep-20,0.67273,0.66657
14-Sep-20,0.67572,0.66822
15-Sep-20,0.68429,0.67805
16-Sep-20,0.6875,0.68625
17-Sep-20,0.68633,0.68135
18-Sep-20,0.70033,0.69288
21-Sep-20,0.67743,0.66994
22-Sep-20,0.67325,0.6634
23-Sep-20,0.68744,0.67488
24-Sep-20,0.68717,0.66342
25-Sep-20,0.6849,0.65853
28-Sep-20,0.6968,0.66182
29-Sep-20,0.67801,0.64298
30-Sep-20,0.70322,0.67579
01-Oct-20,0.70169,0.67663
02-Oct-20,0.71605,0.69231
05-Oct-20,0.77722,0.76096
06-Oct-20,0.76067,0.73944
07-Oct-20,0.80813,0.7843
08-Oct-20,0.79521,0.76522
09-Oct-20,0.80703,0.77452
13-Oct-20,0.76256,0.72638
14-Oct-20,0.75508,0.72144
15-Oct-20,0.76734,0.73224
16-Oct-20,0.77071,0.74313
19-Oct-20,0.79522,0.76146
20-Oct-20,0.82654,0.79655
21-Oct-20,0.84374,0.81502
22-Oct-20,0.87198,0.84697
23-Oct-20,0.86916,0.84042
26-Oct-20,0.82937,0.80186
27-Oct-20,0.80432,0.77679
28-Oct-20,0.80887,0.78018
29-Oct-20,0.86189,0.8356
30-Oct-20,0.88148,0.85769
02-Nov-20,0.85765,0.84763
03-Nov-20,0.8873,0.87979
04-Nov-20,0.79322,0.76707
05-Nov-20,0.80591,0.77716
06-Nov-20,0.84178,0.81931
09-Nov-20,0.96936,0.95679
10-Nov-20,0.97941,0.98763
12-Nov-20,0.8795,0.88564
13-Nov-20,0.88725,0.89219
16-Nov-20,0.90531,0.90531
17-Nov-20,0.86717,0.87091
18-Nov-20,0.87857,0.87991
19-Nov-20,0.8558,0.85455
20-Nov-20,0.82718,0.8284
23-Nov-20,0.85526,0.8578
24-Nov-20,0.88325,0.88074
25-Nov-20,0.88109,0.87745
27-Nov-20,0.84511,0.84139
30-Nov-20,0.84515,0.84138
01-Dec-20,0.9235,0.93348
02-Dec-20,0.93255,0.94507
03-Dec-20,0.9153,0.92029
04-Dec-20,0.97586,0.96837
07-Dec-20,0.93239,0.92613
08-Dec-20,0.91837,0.91209
09-Dec-20,0.9463,0.94023
10-Dec-20,0.90592,0.90715
11-Dec-20,0.8836,0.88983
14-Dec-20,0.89443,0.89066
15-Dec-20,0.92421,0.92043
16-Dec-20,0.91893,0.91879
17-Dec-20,0.9313,0.92875
18-Dec-20,0.94712,0.94707
21-Dec-20,0.94302,0.94043
22-Dec-20,0.92228,0.9172
23-Dec-20,0.95875,0.95378
24-Dec-20,0.93802,0.92889
28-Dec-20,0.9436,0.93223
29-Dec-20,0.94643,0.93391
30-Dec-20,0.93812,0.9256
31-Dec-20,0.91729,0.90984
04-Jan-21,0.91689,0.91567
05-Jan-21,0.95026,0.95405
06-Jan-21,1.02779,1.0414
07-Jan-21,1.06635,1.07017
08-Jan-21,1.1134,1.10595
11-Jan-21,1.13694,1.13325
12-Jan-21,1.14662,1.13673
13-Jan-21,1.09622,1.08744
14-Jan-21,1.13571,1.12834
15-Jan-21,1.10112,1.09623
19-Jan-21,1.09366,1.09119
20-Jan-21,1.09454,1.08954
21-Jan-21,1.11786,1.10663
22-Jan-21,1.11267,1.08892
25-Jan-21,1.0701,1.03886
26-Jan-21,1.0718,1.03805
27-Jan-21,1.05244,1.01354
28-Jan-21,1.09684,1.05427
29-Jan-21,1.1352,1.09274
01-Feb-21,1.12285,1.07659
02-Feb-21,1.15694,1.10567
03-Feb-21,1.19228,1.12971
04-Feb-21,1.21085,1.13836
05-Feb-21,1.24242,1.16868
08-Feb-21,1.23552,1.15929
09-Feb-21,1.22589,1.15592
10-Feb-21,1.20993,1.14991
11-Feb-21,1.22471,1.15735
12-Feb-21,1.27268,1.19901
16-Feb-21,1.3872,1.29721
17-Feb-21,1.37355,1.29725
18-Feb-21,1.36381,1.28633
19-Feb-21,1.43023,1.34399
22-Feb-21,1.45283,1.36784
23-Feb-21,1.44443,1.36194
24-Feb-21,1.45227,1.38841
25-Feb-21,1.5576,1.51386
26-Feb-21,1.51214,1.45466
01-Mar-21,1.52028,1.44529
