Date,Libor 1 Day Mid Rate,Libor 1 Month Mid Rate,Libor 2 Months Mid Rate,Libor 3 Months Mid Rate,Libor 4 Months Mid Rate,Libor 5 Months Mid Rate,Libor 6 Months Mid Rate,Libor 9 Months Mid Rate,Libor 1 Year Mid Rate,Libor 18 Months Mid Rate,Libor 2 Years Mid Rate,Libor 3 Years Mid Rate,Libor 4 Years Mid Rate,Libor 5 Years Mid Rate,Libor 6 Years Mid Rate,Libor 7 Years Mid Rate,Libor 8 Years Mid Rate,Libor 9 Years Mid Rate,Libor 10 Years Mid Rate,Libor 12 Years Mid Rate,Libor 15 Years Mid Rate,Libor 20 Years Mid Rate,Libor 25 Years Mid Rate,Libor 30 Years Mid Rate,Libor 40 Years Mid Rate,Libor 50 Years Mid Rate,Libor 60 Years Mid Rate
05-Feb-18,1.68388,1.71398,1.74503,1.79168,1.82542,1.86535,1.90145,1.9933,2.07604,2.21047,2.31754,2.45911,2.5516,2.61675,2.66974,2.71524,2.75224,2.78386,2.81049,2.85249,2.88943,2.91463,2.91045,2.89877,2.86627,2.83127,2.81877
06-Feb-18,1.7933,1.72764,1.75353,1.79351,1.82769,1.86743,1.90507,1.9991,2.08406,2.22032,2.32823,2.46361,2.54694,2.60474,2.65472,2.69856,2.73481,2.76607,2.79243,2.83542,2.87382,2.90122,2.89874,2.88752,2.85502,2.82002,2.80751
07-Feb-18,1.65917,1.69074,1.74762,1.80357,1.84752,1.88711,1.92714,2.02188,2.10829,2.24495,2.3559,2.4991,2.58698,2.64888,2.70317,2.75131,2.79091,2.82551,2.85511,2.8999,2.93947,2.96809,2.96585,2.95486,2.92235,2.88735,2.87484
08-Feb-18,1.4114,1.63059,1.7422,1.81127,1.85136,1.8977,1.94126,2.03965,2.12465,2.26053,2.36707,2.50627,2.59569,2.65889,2.71472,2.76316,2.80335,2.83841,2.86848,2.91298,2.95215,2.97957,2.97699,2.96567,2.93191,2.89691,2.88441
09-Feb-18,1.38091,1.62358,1.74365,1.82074,1.8618,1.90809,1.94848,2.03752,2.11384,2.23342,2.32899,2.4583,2.54686,2.61423,2.67291,2.72414,2.76664,2.80412,2.83659,2.88484,2.92791,2.95985,2.95968,2.94938,2.915,2.88,2.8675
12-Feb-18,1.55908,1.64851,1.76279,1.83742,1.87987,1.92675,1.96261,2.05131,2.1302,2.2547,2.35364,2.48741,2.57955,2.64794,2.70522,2.75531,2.79634,2.83206,2.86277,2.909,2.94992,2.97859,2.97715,2.9657,2.93131,2.89631,2.8838
13-Feb-18,1.61007,1.6524,1.76492,1.83932,1.87756,1.92259,1.96047,2.05204,2.13238,2.25977,2.3604,2.49156,2.57939,2.64276,2.69729,2.74382,2.7831,2.81687,2.84565,2.8919,2.93276,2.96175,2.95949,2.94786,2.91348,2.87848,2.86598
14-Feb-18,0.94922,1.47828,1.69285,1.80688,1.86983,1.92224,1.97085,2.08433,2.18118,2.32301,2.43518,2.57696,2.6671,2.73355,2.78527,2.82995,2.86704,2.89898,2.926,2.96917,3.00555,3.03057,3.02549,3.01102,2.97673,2.94178,2.92931
15-Feb-18,1.60483,1.60573,1.78515,1.88,1.92451,1.97556,2.01902,2.12083,2.20931,2.35032,2.4616,2.60122,2.68266,2.73668,2.78237,2.82071,2.85427,2.88277,2.90611,2.94683,2.98124,3.00434,2.99745,2.98272,2.94771,2.9127,2.9002
16-Feb-18,1.69338,1.60189,1.78953,1.89194,1.93865,1.98924,2.0323,2.12971,2.21379,2.34873,2.45694,2.59053,2.67094,2.72397,2.76779,2.80662,2.83913,2.86815,2.89355,2.93602,2.97252,2.99714,2.99239,2.97952,2.94326,2.90825,2.89575
20-Feb-18,1.67664,1.64128,1.83153,1.90595,1.96229,2.01511,2.05306,2.15485,2.23999,2.37774,2.49024,2.62536,2.70039,2.74729,2.78848,2.8248,2.85582,2.88333,2.90735,2.94884,2.98531,3.00979,3.00426,2.99049,2.95548,2.92048,2.90861
21-Feb-18,1.52283,1.58002,1.81289,1.91135,1.98302,2.0327,2.07393,2.17983,2.2716,2.41409,2.53172,2.67326,2.75276,2.80176,2.8439,2.88081,2.91258,2.94134,2.96719,3.01022,3.04839,3.07401,3.06926,3.05701,3.02139,2.9864,2.97454
22-Feb-18,1.55109,1.68712,1.85956,1.94384,1.99335,2.03872,2.07752,2.17149,2.25594,2.39484,2.5063,2.64287,2.71846,2.76603,2.80806,2.84507,2.87699,2.90579,2.93147,2.97722,3.01886,3.0472,3.04524,3.03453,2.99828,2.96328,2.95202
23-Feb-18,1.58805,1.7032,1.88094,1.95899,2.00338,2.04672,2.08277,2.17131,2.25143,2.38061,2.48483,2.60934,2.67975,2.72386,2.76176,2.79466,2.82435,2.85154,2.8756,2.91879,2.95837,2.98553,2.98269,2.97049,2.93423,2.89923,2.88797
26-Feb-18,1.54231,1.7147,1.92014,1.9809,2.03014,2.07514,2.10498,2.19156,2.2698,2.39856,2.49441,2.61092,2.67209,2.7126,2.74934,2.78006,2.80851,2.83462,2.85909,2.90047,2.93904,2.96727,2.96389,2.95301,2.91554,2.88186,2.86891
27-Feb-18,1.35167,1.79053,1.93545,2.00396,2.05275,2.0936,2.13233,2.21964,2.29945,2.44984,2.5458,2.67087,2.74079,2.78395,2.81902,2.84859,2.87572,2.90025,2.92207,2.95883,2.99184,3.0131,3.00755,2.99285,2.95661,2.92161,2.91036
28-Feb-18,1.46701,1.82527,1.955,2.01353,2.05377,2.09486,2.13159,2.21921,2.30089,2.44466,2.53545,2.6527,2.71831,2.75789,2.78956,2.81495,2.83926,2.86105,2.88059,2.91605,2.9478,2.96866,2.9622,2.94704,2.90955,2.87456,2.86268
01-Mar-18,1.78473,1.95765,1.99929,2.02208,2.05101,2.07982,2.1052,2.17619,2.24643,2.3784,2.46266,2.56978,2.63329,2.67453,2.70774,2.73605,2.76273,2.78712,2.8089,2.84811,2.88342,2.90643,2.90284,2.89044,2.85295,2.81795,2.80607
02-Mar-18,1.85537,1.9709,2.00692,2.02792,2.05451,2.08128,2.1079,2.18199,2.25764,2.39851,2.4879,2.60367,2.67342,2.72133,2.75742,2.7887,2.81692,2.84274,2.86616,2.90615,2.94241,2.96669,2.96297,2.95,2.91312,2.87812,2.86624
05-Mar-18,1.71948,1.93845,2.00974,2.0416,2.07388,2.09937,2.12676,2.20179,2.27688,2.41783,2.50759,2.62482,2.69455,2.7413,2.778,2.80982,2.83781,2.86351,2.88697,2.92519,2.95959,2.9832,2.97741,2.96233,2.92544,2.89043,2.87855
06-Mar-18,1.51136,1.92096,2.0073,2.04587,2.08023,2.10872,2.13936,2.21442,2.28803,2.43126,2.52285,2.64177,2.71162,2.75673,2.79096,2.82019,2.84644,2.87009,2.89118,2.92869,2.96147,2.98256,2.97614,2.96032,2.92282,2.88782,2.87595
07-Mar-18,1.53689,1.89374,2.00732,2.05572,2.08948,2.11936,2.14899,2.22439,2.30061,2.44346,2.53607,2.65455,2.7223,2.76634,2.80049,2.82968,2.85549,2.87949,2.90169,2.9409,2.97572,2.99946,2.99428,2.97973,2.94223,2.90723,2.89536
08-Mar-18,1.41384,1.90884,2.0224,2.0707,2.10732,2.13625,2.16292,2.2348,2.30853,2.45298,2.54435,2.65911,2.7229,2.7629,2.79549,2.82283,2.84835,2.87217,2.89403,2.93258,2.96798,2.99242,2.98766,2.9733,2.9358,2.9008,2.88955
09-Mar-18,1.47409,1.94335,2.04633,2.0933,2.12875,2.15563,2.18258,2.25181,2.3254,2.47198,2.56662,2.68546,2.7482,2.788,2.82048,2.84797,2.8733,2.89664,2.91798,2.95686,2.99199,3.01698,3.01132,2.99602,2.95851,2.9235,2.91163
12-Mar-18,1.5273,1.9591,2.06155,2.11051,2.14757,2.17235,2.19947,2.27027,2.34366,2.48686,2.57831,2.69105,2.74845,2.78186,2.81114,2.83548,2.85867,2.87991,2.89916,2.93714,2.97146,2.99586,2.99015,2.97508,2.93694,2.90194,2.89007
13-Mar-18,1.46534,1.97729,2.07817,2.12729,2.16502,2.19151,2.22039,2.29036,2.35944,2.49961,2.58777,2.69636,2.7517,2.7855,2.81226,2.83408,2.85579,2.8758,2.89471,2.9311,2.96369,2.98744,2.98108,2.96518,2.92706,2.89205,2.88017
14-Mar-18,1.42452,1.95404,2.07479,2.13426,2.16788,2.19395,2.2206,2.28738,2.35581,2.48837,2.5719,2.67466,2.72794,2.76153,2.78613,2.8056,2.82541,2.84342,2.85957,2.89227,2.92187,2.94315,2.93584,2.91913,2.88041,2.84542,2.83355
