"Date","Libor 2 Years Mid Rate","Libor 10 Years Mid Rate"
09-Jan-19,2.71117,2.75145
10-Jan-19,2.7128,2.75421
11-Jan-19,2.69561,2.72296
14-Jan-19,2.69745,2.73361
15-Jan-19,2.69355,2.73557
16-Jan-19,2.70676,2.75935
17-Jan-19,2.72145,2.77825
18-Jan-19,2.76646,2.81395
22-Jan-19,2.72188,2.76232
23-Jan-19,2.74156,2.78439
24-Jan-19,2.71173,2.74236
25-Jan-19,2.73748,2.78152
28-Jan-19,2.72359,2.77055
29-Jan-19,2.70582,2.74071
30-Jan-19,2.67138,2.72213
31-Jan-19,2.60822,2.65862
01-Feb-19,2.65358,2.718
04-Feb-19,2.67401,2.7464
05-Feb-19,2.66776,2.7278
06-Feb-19,2.66891,2.72293
07-Feb-19,2.62232,2.67805
08-Feb-19,2.60415,2.65611
11-Feb-19,2.62367,2.68364
12-Feb-19,2.6375,2.70571
13-Feb-19,2.67166,2.72769
14-Feb-19,2.63547,2.68661
15-Feb-19,2.6512,2.69392
19-Feb-19,2.61871,2.66877
20-Feb-19,2.61199,2.67205
21-Feb-19,2.62269,2.69559
22-Feb-19,2.59377,2.6657
25-Feb-19,2.60235,2.67875
26-Feb-19,2.57126,2.63831
27-Feb-19,2.58982,2.69611
28-Feb-19,2.60892,2.71911
01-Mar-19,2.64121,2.76266
04-Mar-19,2.62659,2.72754
05-Mar-19,2.64721,2.73293
06-Mar-19,2.62859,2.70815
07-Mar-19,2.58662,2.65467
08-Mar-19,2.5808,2.64276
11-Mar-19,2.59864,2.65952
12-Mar-19,2.56715,2.61922
13-Mar-19,2.56789,2.62094
14-Mar-19,2.57376,2.64181
15-Mar-19,2.55624,2.60903
18-Mar-19,2.56838,2.61432
19-Mar-19,2.56628,2.61893
20-Mar-19,2.50922,2.54243
21-Mar-19,2.50336,2.53547
22-Mar-19,2.41018,2.43777
25-Mar-19,2.32581,2.37055
26-Mar-19,2.34471,2.37165
27-Mar-19,2.31369,2.34343
28-Mar-19,2.33847,2.37852
29-Mar-19,2.38971,2.41429
01-Apr-19,2.44158,2.49643
02-Apr-19,2.42692,2.46855
03-Apr-19,2.44459,2.4973
04-Apr-19,2.44393,2.49262
05-Apr-19,2.44497,2.48329
08-Apr-19,2.45453,2.50267
09-Apr-19,2.43195,2.48051
10-Apr-19,2.42206,2.45784
11-Apr-19,2.44309,2.48822
12-Apr-19,2.49045,2.54526
15-Apr-19,2.48621,2.54286
16-Apr-19,2.50825,2.58166
17-Apr-19,2.50054,2.58374
18-Apr-19,2.4753,2.54825
22-Apr-19,2.46773,2.57195
23-Apr-19,2.44807,2.54985
24-Apr-19,2.41106,2.50326
25-Apr-19,2.4298,2.52091
26-Apr-19,2.39351,2.48891
29-Apr-19,2.39796,2.5151
30-Apr-19,2.37931,2.49132
01-May-19,2.41457,2.50495
02-May-19,2.45774,2.54141
03-May-19,2.44435,2.51463
06-May-19,2.40974,2.47882
07-May-19,2.37732,2.42668
08-May-19,2.39245,2.4607
09-May-19,2.36349,2.4356
10-May-19,2.34926,2.43383
13-May-19,2.27369,2.37415
14-May-19,2.27819,2.38328
15-May-19,2.23967,2.33262
16-May-19,2.27374,2.35802
17-May-19,2.26732,2.34555
20-May-19,2.28153,2.36466
21-May-19,2.30824,2.37675
22-May-19,2.28412,2.34669
23-May-19,2.1718,2.23967
24-May-19,2.2051,2.27429
28-May-19,2.16107,2.22034
29-May-19,2.12213,2.18766
30-May-19,2.11937,2.18459
31-May-19,1.9879,2.09276
03-Jun-19,1.87946,2.03642
04-Jun-19,1.90931,2.09
05-Jun-19,1.88742,2.10057
06-Jun-19,1.93206,2.10677
07-Jun-19,1.916,2.07285
10-Jun-19,1.96211,2.12048
11-Jun-19,1.97089,2.10763
12-Jun-19,1.92904,2.08348
13-Jun-19,1.85505,2.03354
14-Jun-19,1.86626,2.02379
17-Jun-19,1.89413,2.02707
18-Jun-19,1.89157,1.99848
19-Jun-19,1.78949,1.96487
20-Jun-19,1.75765,1.93642
21-Jun-19,1.7957,1.99551
24-Jun-19,1.746,1.94855
25-Jun-19,1.7359,1.9153
26-Jun-19,1.80447,1.97803
27-Jun-19,1.7765,1.9407
28-Jun-19,1.7947,1.9553
01-Jul-19,1.84677,1.99088
02-Jul-19,1.80756,1.93284
03-Jul-19,1.80531,1.9069
05-Jul-19,1.91729,1.9947
08-Jul-19,1.90849,1.97416
09-Jul-19,1.92664,1.99281
10-Jul-19,1.86754,2.006
11-Jul-19,1.89785,2.06967
12-Jul-19,1.87379,2.04632
15-Jul-19,1.86202,2.02513
16-Jul-19,1.88709,2.05445
17-Jul-19,1.86494,1.99495
18-Jul-19,1.79751,1.96671
19-Jul-19,1.83467,1.98136
22-Jul-19,1.83419,1.97594
23-Jul-19,1.85984,2.00083
24-Jul-19,1.85152,1.97501
25-Jul-19,1.87066,1.9871
26-Jul-19,1.89948,2.0049
29-Jul-19,1.87294,1.97362
30-Jul-19,1.87831,1.97585
31-Jul-19,1.9333,1.95009
01-Aug-19,1.76454,1.80978
02-Aug-19,1.74773,1.77318
05-Aug-19,1.56927,1.61729
06-Aug-19,1.61328,1.6389
07-Aug-19,1.54552,1.55592
08-Aug-19,1.58735,1.58379
09-Aug-19,1.6171,1.61871
12-Aug-19,1.56454,1.53137
13-Aug-19,1.6525,1.5779
14-Aug-19,1.5749,1.46964
15-Aug-19,1.50024,1.41112
16-Aug-19,1.49631,1.42855
19-Aug-19,1.5492,1.49563
20-Aug-19,1.52042,1.45807
21-Aug-19,1.56314,1.48111
22-Aug-19,1.59671,1.52643
23-Aug-19,1.50491,1.43663
26-Aug-19,1.53784,1.45906
27-Aug-19,1.5103,1.39918
28-Aug-19,1.49206,1.36322
29-Aug-19,1.52741,1.41112
30-Aug-19,1.51208,1.39022
03-Sep-19,1.4544,1.33959
04-Sep-19,1.42672,1.34228
05-Sep-19,1.52136,1.45156
06-Sep-19,1.51642,1.43078
09-Sep-19,1.57249,1.51106
10-Sep-19,1.64933,1.58648
11-Sep-19,1.65669,1.61458
12-Sep-19,1.71707,1.67098
13-Sep-19,1.79225,1.78878
16-Sep-19,1.74502,1.7251
17-Sep-19,1.72087,1.69198
18-Sep-19,1.71792,1.66096
19-Sep-19,1.70204,1.64395
20-Sep-19,1.70412,1.63489
23-Sep-19,1.6607,1.58923
24-Sep-19,1.59186,1.50459
25-Sep-19,1.66528,1.6004
26-Sep-19,1.63823,1.55912
27-Sep-19,1.62451,1.56611
30-Sep-19,1.6317,1.56758
01-Oct-19,1.57328,1.54455
02-Oct-19,1.51631,1.50036
03-Oct-19,1.42121,1.43803
04-Oct-19,1.43635,1.4283
07-Oct-19,1.48796,1.47121
08-Oct-19,1.44844,1.45217
09-Oct-19,1.49891,1.49721
10-Oct-19,1.5591,1.56526
11-Oct-19,1.65881,1.6759
15-Oct-19,1.66929,1.69646
16-Oct-19,1.62866,1.66468
17-Oct-19,1.64139,1.67682
18-Oct-19,1.61119,1.68535
21-Oct-19,1.63933,1.72645
22-Oct-19,1.62236,1.69634
23-Oct-19,1.61455,1.68167
24-Oct-19,1.61556,1.68639
25-Oct-19,1.65536,1.71799
28-Oct-19,1.6796,1.7703
29-Oct-19,1.67054,1.749
30-Oct-19,1.64778,1.70848
31-Oct-19,1.55205,1.59668
01-Nov-19,1.59929,1.64333
04-Nov-19,1.6369,1.7057
05-Nov-19,1.67442,1.7807
06-Nov-19,1.64794,1.7308
07-Nov-19,1.71736,1.83917
08-Nov-19,1.70924,1.84083
12-Nov-19,1.69103,1.81266
13-Nov-19,1.65981,1.77024
14-Nov-19,1.62216,1.71929
15-Nov-19,1.62661,1.73701
18-Nov-19,1.60103,1.7041
19-Nov-19,1.58698,1.67893
20-Nov-19,1.55761,1.63086
21-Nov-19,1.58299,1.65809
22-Nov-19,1.6094,1.67086
25-Nov-19,1.60814,1.66908
26-Nov-19,1.59328,1.65254
27-Nov-19,1.63099,1.69009
29-Nov-19,1.61633,1.70363
02-Dec-19,1.63543,1.75661
03-Dec-19,1.54303,1.63032
04-Dec-19,1.5993,1.70503
05-Dec-19,1.5989,1.72386
06-Dec-19,1.63742,1.77363
09-Dec-19,1.63585,1.76196
10-Dec-19,1.6545,1.75658
11-Dec-19,1.62642,1.71573
12-Dec-19,1.68904,1.83474
13-Dec-19,1.63716,1.75112
16-Dec-19,1.68961,1.83303
17-Dec-19,1.68935,1.83598
18-Dec-19,1.70152,1.87208
19-Dec-19,1.69196,1.85756
20-Dec-19,1.70785,1.87397
23-Dec-19,1.73002,1.89025
24-Dec-19,1.71773,1.86733
26-Dec-19,1.71867,1.86102
27-Dec-19,1.68523,1.83391
30-Dec-19,1.67881,1.86113
31-Dec-19,1.68244,1.88246
02-Jan-20,1.67496,1.85026
03-Jan-20,1.61581,1.7523
06-Jan-20,1.61287,1.74992
07-Jan-20,1.61837,1.76901
08-Jan-20,1.64513,1.81625
09-Jan-20,1.63972,1.7997
10-Jan-20,1.63114,1.77064
13-Jan-20,1.64281,1.79412
14-Jan-20,1.63544,1.77184
15-Jan-20,1.63361,1.75039
16-Jan-20,1.63799,1.76271
17-Jan-20,1.64857,1.79362
21-Jan-20,1.60632,1.73063
22-Jan-20,1.59922,1.72419
23-Jan-20,1.57941,1.68789
24-Jan-20,1.54195,1.62481
27-Jan-20,1.48577,1.54496
28-Jan-20,1.51874,1.58738
29-Jan-20,1.48389,1.54694
30-Jan-20,1.44266,1.49905
31-Jan-20,1.39168,1.46282
03-Feb-20,1.41089,1.47214
04-Feb-20,1.47897,1.55525
05-Feb-20,1.5017,1.60731
06-Feb-20,1.50285,1.60082
07-Feb-20,1.45317,1.53106
10-Feb-20,1.4142,1.49275
11-Feb-20,1.44706,1.53198
12-Feb-20,1.48085,1.58287
13-Feb-20,1.47426,1.56512
14-Feb-20,1.44973,1.53106
18-Feb-20,1.42989,1.49256
19-Feb-20,1.45167,1.51135
20-Feb-20,1.41279,1.46212
21-Feb-20,1.35764,1.39258
24-Feb-20,1.2722,1.30383
25-Feb-20,1.21978,1.26704
26-Feb-20,1.18666,1.25483
27-Feb-20,1.13596,1.24656
28-Feb-20,0.94264,1.08601
02-Mar-20,0.89846,1.07539
03-Mar-20,0.7692,0.98681
04-Mar-20,0.69887,0.98355
05-Mar-20,0.65559,0.92371
06-Mar-20,0.60898,0.77064
09-Mar-20,0.47677,0.5966
10-Mar-20,0.53159,0.78814
11-Mar-20,0.4901,0.82554
12-Mar-20,0.47884,0.83037
13-Mar-20,0.52963,0.94914
16-Mar-20,0.45418,0.75069
17-Mar-20,0.53061,0.94008
18-Mar-20,0.61498,1.12986
19-Mar-20,0.61323,0.97738
20-Mar-20,0.51965,0.79907
23-Mar-20,0.48169,0.66222
24-Mar-20,0.51464,0.71529
25-Mar-20,0.52702,0.80529
26-Mar-20,0.5049,0.72847
27-Mar-20,0.5157,0.6866
30-Mar-20,0.49605,0.66711
31-Mar-20,0.48166,0.72957
01-Apr-20,0.48242,0.70904
02-Apr-20,0.45804,0.68484
03-Apr-20,0.46235,0.64761
06-Apr-20,0.49078,0.72059
07-Apr-20,0.52602,0.78847
08-Apr-20,0.50249,0.8238
09-Apr-20,0.45056,0.78909
13-Apr-20,0.45276,0.81333
14-Apr-20,0.43458,0.82033
15-Apr-20,0.41039,0.70592
16-Apr-20,0.41504,0.68183
17-Apr-20,0.41394,0.72442
20-Apr-20,0.42399,0.6909
21-Apr-20,0.40854,0.63921
22-Apr-20,0.40624,0.67086
23-Apr-20,0.39783,0.64837
24-Apr-20,0.37839,0.62767
27-Apr-20,0.37927,0.67044
28-Apr-20,0.35597,0.61929
29-Apr-20,0.33567,0.6371
30-Apr-20,0.31216,0.63486
01-May-20,0.33052,0.64242
04-May-20,0.30945,0.63027
05-May-20,0.31366,0.6512
06-May-20,0.29339,0.67414
07-May-20,0.24002,0.59666
08-May-20,0.24826,0.6397
11-May-20,0.25976,0.66603
12-May-20,0.26222,0.63736
13-May-20,0.26803,0.6133
14-May-20,0.25394,0.58683
15-May-20,0.24972,0.61707
18-May-20,0.27679,0.72157
19-May-20,0.26015,0.689
20-May-20,0.24894,0.66147
21-May-20,0.25768,0.66397
22-May-20,0.2609,0.65573
26-May-20,0.26928,0.68977
27-May-20,0.26711,0.66559
28-May-20,0.26549,0.69419
29-May-20,0.25165,0.64023
01-Jun-20,0.24787,0.65533
02-Jun-20,0.24916,0.66948
03-Jun-20,0.27046,0.74993
04-Jun-20,0.27419,0.8134
05-Jun-20,0.30044,0.88545
08-Jun-20,0.30257,0.86639
09-Jun-20,0.29448,0.81283
10-Jun-20,0.26531,0.74192
11-Jun-20,0.25508,0.6442
12-Jun-20,0.26581,0.68779
15-Jun-20,0.25709,0.68982
16-Jun-20,0.27031,0.73866
17-Jun-20,0.26072,0.70457
18-Jun-20,0.25781,0.66776
19-Jun-20,0.25442,0.67647
22-Jun-20,0.25118,0.68773
23-Jun-20,0.25017,0.69394
24-Jun-20,0.24812,0.67228
25-Jun-20,0.24921,0.66383
26-Jun-20,0.23423,0.62658
29-Jun-20,0.22557,0.61556
30-Jun-20,0.22411,0.63442
01-Jul-20,0.23133,0.66172
02-Jul-20,0.22601,0.64632
06-Jul-20,0.22122,0.65498
07-Jul-20,0.21753,0.61882
08-Jul-20,0.21513,0.62193
09-Jul-20,0.21331,0.58427
10-Jul-20,0.21858,0.61758
13-Jul-20,0.2237,0.62135
14-Jul-20,0.21867,0.59017
15-Jul-20,0.22449,0.60907
16-Jul-20,0.22145,0.5935
17-Jul-20,0.22144,0.61245
20-Jul-20,0.21977,0.59548
21-Jul-20,0.21208,0.58608
22-Jul-20,0.21249,0.57707
23-Jul-20,0.20798,0.57033
24-Jul-20,0.21158,0.57968
27-Jul-20,0.22116,0.60009
28-Jul-20,0.21817,0.57351
29-Jul-20,0.20473,0.57471
30-Jul-20,0.18642,0.53424
31-Jul-20,0.18473,0.52804
03-Aug-20,0.18799,0.55164
04-Aug-20,0.18661,0.50561
05-Aug-20,0.19571,0.53596
06-Aug-20,0.19283,0.53688
07-Aug-20,0.20896,0.57564
10-Aug-20,0.21928,0.59055
11-Aug-20,0.23882,0.65982
12-Aug-20,0.23756,0.66298
13-Aug-20,0.24297,0.69438
14-Aug-20,0.23725,0.70584
17-Aug-20,0.22804,0.66998
18-Aug-20,0.21935,0.653
19-Aug-20,0.20927,0.65578
20-Aug-20,0.21644,0.63374
21-Aug-20,0.22024,0.63772
24-Aug-20,0.21773,0.63536
25-Aug-20,0.22431,0.67726
26-Aug-20,0.23055,0.68561
27-Aug-20,0.2481,0.74491
28-Aug-20,0.22163,0.73031
31-Aug-20,0.21936,0.6963
01-Sep-20,0.21728,0.67722
02-Sep-20,0.225,0.66515
03-Sep-20,0.21632,0.63727
04-Sep-20,0.23471,0.72588
08-Sep-20,0.22819,0.68533
09-Sep-20,0.23042,0.70752
10-Sep-20,0.22409,0.69036
11-Sep-20,0.20805,0.67273
14-Sep-20,0.21706,0.67572
15-Sep-20,0.22057,0.68429
16-Sep-20,0.21758,0.6875
17-Sep-20,0.2133,0.68633
18-Sep-20,0.2192,0.70033
21-Sep-20,0.21755,0.67743
22-Sep-20,0.21354,0.67325
23-Sep-20,0.22223,0.68744
24-Sep-20,0.226,0.68717
25-Sep-20,0.22343,0.6849
28-Sep-20,0.22373,0.6968
29-Sep-20,0.21929,0.67801
30-Sep-20,0.21533,0.70322
01-Oct-20,0.22176,0.70169
02-Oct-20,0.22061,0.71605
05-Oct-20,0.22756,0.77722
06-Oct-20,0.22878,0.76067
07-Oct-20,0.23967,0.80813
08-Oct-20,0.23333,0.79521
09-Oct-20,0.237,0.80703
13-Oct-20,0.23167,0.76256
14-Oct-20,0.22831,0.75508
15-Oct-20,0.23271,0.76734
16-Oct-20,0.23013,0.77071
19-Oct-20,0.23017,0.79522
20-Oct-20,0.23382,0.82654
21-Oct-20,0.23086,0.84374
22-Oct-20,0.23787,0.87198
23-Oct-20,0.23674,0.86916
26-Oct-20,0.2358,0.82937
27-Oct-20,0.23597,0.80432
28-Oct-20,0.23487,0.80887
29-Oct-20,0.23385,0.86189
30-Oct-20,0.23767,0.88148
02-Nov-20,0.23909,0.85765
03-Nov-20,0.24562,0.8873
04-Nov-20,0.2292,0.79322
05-Nov-20,0.23424,0.80591
06-Nov-20,0.2361,0.84178
09-Nov-20,0.25845,0.96936
10-Nov-20,0.26208,0.97941
12-Nov-20,0.25938,0.8795
13-Nov-20,0.26386,0.88725
16-Nov-20,0.26098,0.90531
17-Nov-20,0.25983,0.86717
18-Nov-20,0.25752,0.87857
19-Nov-20,0.2538,0.8558
20-Nov-20,0.25024,0.82718
23-Nov-20,0.25249,0.85526
24-Nov-20,0.25884,0.88325
25-Nov-20,0.25659,0.88109
27-Nov-20,0.24999,0.84511
30-Nov-20,0.23073,0.84515
01-Dec-20,0.24128,0.9235
02-Dec-20,0.23822,0.93255
03-Dec-20,0.23389,0.9153
04-Dec-20,0.23283,0.97586
07-Dec-20,0.22565,0.93239
08-Dec-20,0.22891,0.91837
09-Dec-20,0.22239,0.9463
10-Dec-20,0.21095,0.90592
11-Dec-20,0.19485,0.8836
14-Dec-20,0.19522,0.89443
15-Dec-20,0.20113,0.92421
16-Dec-20,0.20262,0.91893
17-Dec-20,0.20542,0.9313
18-Dec-20,0.20196,0.94712
21-Dec-20,0.2052,0.94302
22-Dec-20,0.20527,0.92228
23-Dec-20,0.21138,0.95875
24-Dec-20,0.20579,0.93802
28-Dec-20,0.20811,0.9436
29-Dec-20,0.20517,0.94643
30-Dec-20,0.2004,0.93812
31-Dec-20,0.19504,0.91729
04-Jan-21,0.18973,0.91689
05-Jan-21,0.1933,0.95026
06-Jan-21,0.21062,1.02779
07-Jan-21,0.2115,1.06635
08-Jan-21,0.21554,1.1134
11-Jan-21,0.2173,1.13694
12-Jan-21,0.22495,1.14662
13-Jan-21,0.21511,1.09622
14-Jan-21,0.20949,1.13571
15-Jan-21,0.20501,1.10112
19-Jan-21,0.20401,1.09366
20-Jan-21,0.20681,1.09454
21-Jan-21,0.20428,1.11786
22-Jan-21,0.20019,1.11267
25-Jan-21,0.19884,1.0701
26-Jan-21,0.20022,1.0718
27-Jan-21,0.19823,1.05244
28-Jan-21,0.19903,1.09684
29-Jan-21,0.18798,1.1352
01-Feb-21,0.18845,1.12285
02-Feb-21,0.19196,1.15694
03-Feb-21,0.20286,1.19228
04-Feb-21,0.2006,1.21085
05-Feb-21,0.19875,1.24242
08-Feb-21,0.20323,1.23552
09-Feb-21,0.2026,1.22589
10-Feb-21,0.20473,1.20993
11-Feb-21,0.20215,1.22471
12-Feb-21,0.20343,1.27268
16-Feb-21,0.21594,1.3872
17-Feb-21,0.2013,1.37355
18-Feb-21,0.19802,1.36381
19-Feb-21,0.20225,1.43023
22-Feb-21,0.20456,1.45283
23-Feb-21,0.20452,1.44443
24-Feb-21,0.212,1.45227
25-Feb-21,0.24252,1.5576
